"Generate Date:07/03/2019"
"Daily 24 Hour Measurement of PBX Traffic Report"
"Tel No	:",69586888,,,"Name	: SMRT Taxis Pte Ltd"
"Date 		: ",04/02/2019,,,,"Lines	: 90"
,"Incoming Calls",,,,"Outgoing Calls",,,,"Total Calls"
Hour,BHInd,Attempt,Answer,Duration,BHInd,Attempt,Answer,Duration,BHInd,Attempt,Answer,Duration
1,,10,10,107,,0,0,0,,10,10,107
2,,4,4,230,,0,0,0,,4,4,230
3,,3,3,249,,0,0,0,,3,3,249
4,,7,7,69,,0,0,0,,7,7,69
5,,8,8,159,,0,0,0,,8,8,159
6,,10,10,137,,0,0,0,,10,10,137
7,,120,120,151,,0,0,0,,120,120,151
8,,52,52,135,,0,0,0,,52,52,135
9,,36,36,180,,0,0,0,,36,36,180
10,,31,31,211,,0,0,0,,31,31,211
11,,52,52,185,,0,0,0,,52,52,185
12,,46,46,183,,0,0,0,,46,46,183
13,,60,60,171,,0,0,0,,60,60,171
14,,121,121,197,,0,0,0,,121,121,197
15,,110,110,186,,0,0,0,,110,110,186
16,,119,119,165,,0,0,0,,119,119,165
17,,197,197,171,,0,0,0,,197,197,171
18,*,490,490,142,+,0,0,0,#,490,490,142
19,,386,386,161,,0,0,0,,386,386,161
20,,177,177,171,,0,0,0,,177,177,171
21,,49,49,208,,0,0,0,,49,49,208
22,,31,31,157,,0,0,0,,31,31,157
23,,34,34,142,,0,0,0,,34,34,142
24,,18,18,168,,0,0,0,,18,18,168
Total,,=sum(C7:C30),=sum(D7:D30),"=Round(SUMPRODUCT(D7:D30,E7:E30)/D31)",,=sum(G7:G30),=sum(H7:H30),=sum(I7:I30),,=sum(K7:K30),=sum(L7:L30),"=Round(SUMPRODUCT(L7:L30,M7:M30)/L31)"
,,
Abbreviations:,,,,
"Date           ",":The date of measurement.",,,,Hour," :The end hour of measurement."
"Incoming Calls ",":Calls terminated  at subscriber.",,,,"Attempt ",": Number of call attempts made."
"Outgoing Calls ",":Calls originated from subscriber.",,,,"Answer ",": Number of answered calls."
"BHInd.   *     ",":Busy hr (Incoming Calls)",,,,"Duration ",":The average conversation time in secs calculated using Traffic"
"+ : BHInd(Outgoing Calls)"
"+ : BHInd(Total Calls)"
