"Generate Date:07/03/2019"
"Daily 24 Hour Measurement of PBX Traffic Report"
"Tel No	:",69586888,,,"Name	: SMRT Taxis Pte Ltd"
"Date 		: ",11/02/2019,,,,"Lines	: 90"
,"Incoming Calls",,,,"Outgoing Calls",,,,"Total Calls"
Hour,BHInd,Attempt,Answer,Duration,BHInd,Attempt,Answer,Duration,BHInd,Attempt,Answer,Duration
1,,5,5,158,,0,0,0,,5,5,158
2,,2,2,45,,0,0,0,,2,2,45
3,,2,2,112,,0,0,0,,2,2,112
4,,2,2,13,,0,0,0,,2,2,13
5,,4,4,113,,0,0,0,,4,4,113
6,,17,17,116,,0,0,0,,17,17,116
7,,67,67,146,,0,0,0,,67,67,146
8,,86,86,136,,0,0,0,,86,86,136
9,*,250,250,157,+,0,0,0,#,250,250,157
10,,89,89,162,,0,0,0,,89,89,162
11,,39,39,173,,0,0,0,,39,39,173
12,,38,38,201,,0,0,0,,38,38,201
13,,27,27,123,,0,0,0,,27,27,123
14,,28,28,247,,0,0,0,,28,28,247
15,,32,32,237,,0,0,0,,32,32,237
16,,25,25,212,,0,0,0,,25,25,212
17,,38,38,165,,0,0,0,,38,38,165
18,,32,32,153,,0,0,0,,32,32,153
19,,35,35,156,,0,0,0,,35,35,156
20,,13,13,196,,0,0,0,,13,13,196
21,,18,18,95,,0,0,0,,18,18,95
22,,41,41,173,,0,0,0,,41,41,173
23,,35,35,195,,0,0,0,,35,35,195
24,,8,8,222,,0,0,0,,8,8,222
Total,,=sum(C7:C30),=sum(D7:D30),"=Round(SUMPRODUCT(D7:D30,E7:E30)/D31)",,=sum(G7:G30),=sum(H7:H30),=sum(I7:I30),,=sum(K7:K30),=sum(L7:L30),"=Round(SUMPRODUCT(L7:L30,M7:M30)/L31)"
,,
Abbreviations:,,,,
"Date           ",":The date of measurement.",,,,Hour," :The end hour of measurement."
"Incoming Calls ",":Calls terminated  at subscriber.",,,,"Attempt ",": Number of call attempts made."
"Outgoing Calls ",":Calls originated from subscriber.",,,,"Answer ",": Number of answered calls."
"BHInd.   *     ",":Busy hr (Incoming Calls)",,,,"Duration ",":The average conversation time in secs calculated using Traffic"
"+ : BHInd(Outgoing Calls)"
"+ : BHInd(Total Calls)"
"Generate Date:07/03/2019"
"Daily 24 Hour Measurement of PBX Traffic Report"
"Tel No	:",69586888,,,"Name	: SMRT Taxis Pte Ltd"
"Date 		: ",12/02/2019,,,,"Lines	: 90"
,"Incoming Calls",,,,"Outgoing Calls",,,,"Total Calls"
Hour,BHInd,Attempt,Answer,Duration,BHInd,Attempt,Answer,Duration,BHInd,Attempt,Answer,Duration
1,,7,7,108,,0,0,0,,7,7,108
2,,6,6,115,,0,0,0,,6,6,115
3,,3,3,203,,0,0,0,,3,3,203
4,,5,5,63,,0,0,0,,5,5,63
5,,6,6,132,,0,0,0,,6,6,132
6,,7,7,110,,0,0,0,,7,7,110
7,,20,20,163,,0,0,0,,20,20,163
8,,49,49,127,,0,0,0,,49,49,127
9,,106,106,158,,0,0,0,,106,106,158
10,,64,64,147,,0,0,0,,64,64,147
11,,26,26,151,,0,0,0,,26,26,151
12,,32,32,149,,0,0,0,,32,32,149
13,,21,21,167,,0,0,0,,21,21,167
14,,16,16,185,,0,0,0,,16,16,185
15,,24,24,237,,0,0,0,,24,24,237
16,,29,29,92,,0,0,0,,29,29,92
17,,10,10,164,,0,0,0,,10,10,164
18,,20,20,165,,0,0,0,,20,20,165
19,,33,33,162,,0,0,0,,33,33,162
20,,14,14,170,,0,0,0,,14,14,170
21,,29,29,159,,0,0,0,,29,29,159
22,,53,53,141,,0,0,0,,53,53,141
23,*,125,125,163,+,0,0,0,#,125,125,163
24,,19,19,150,,0,0,0,,19,19,150
Total,,=sum(C46:C69),=sum(D46:D69),"=Round(SUMPRODUCT(D46:D69,E46:E69)/D70)",,=sum(G46:G69),=sum(H46:H69),=sum(I46:I69),,=sum(K46:K69),=sum(L46:L69),"=Round(SUMPRODUCT(L46:L69,M46:M69)/L70)"
,,
Abbreviations:,,,,
"Date           ",":The date of measurement.",,,,Hour," :The end hour of measurement."
"Incoming Calls ",":Calls terminated  at subscriber.",,,,"Attempt ",": Number of call attempts made."
"Outgoing Calls ",":Calls originated from subscriber.",,,,"Answer ",": Number of answered calls."
"BHInd.   *     ",":Busy hr (Incoming Calls)",,,,"Duration ",":The average conversation time in secs calculated using Traffic"
"+ : BHInd(Outgoing Calls)"
"+ : BHInd(Total Calls)"
"Generate Date:07/03/2019"
"Daily 24 Hour Measurement of PBX Traffic Report"
"Tel No	:",69586888,,,"Name	: SMRT Taxis Pte Ltd"
"Date 		: ",13/02/2019,,,,"Lines	: 90"
,"Incoming Calls",,,,"Outgoing Calls",,,,"Total Calls"
Hour,BHInd,Attempt,Answer,Duration,BHInd,Attempt,Answer,Duration,BHInd,Attempt,Answer,Duration
1,,12,12,120,,0,0,0,,12,12,120
2,,12,12,181,,0,0,0,,12,12,181
3,,3,3,131,,0,0,0,,3,3,131
4,,2,2,212,,0,0,0,,2,2,212
5,,4,4,109,,0,0,0,,4,4,109
6,,9,9,177,,0,0,0,,9,9,177
7,,44,44,156,,0,0,0,,44,44,156
8,,72,72,142,,0,0,0,,72,72,142
9,*,225,225,150,+,0,0,0,#,225,225,150
10,,99,99,189,,0,0,0,,99,99,189
11,,69,69,171,,0,0,0,,69,69,171
12,,43,43,158,,0,0,0,,43,43,158
13,,38,38,152,,0,0,0,,38,38,152
14,,27,27,156,,0,0,0,,27,27,156
15,,33,33,159,,0,0,0,,33,33,159
16,,31,31,171,,0,0,0,,31,31,171
17,,39,39,152,,0,0,0,,39,39,152
18,,45,45,144,,0,0,0,,45,45,144
19,,43,43,170,,0,0,0,,43,43,170
20,,19,19,161,,0,0,0,,19,19,161
21,,25,25,128,,0,0,0,,25,25,128
22,,39,39,140,,0,0,0,,39,39,140
